Equipo,Peso,Tipo_Equipo,Fecha,Resultado_1X2,avg_Goles_esperados_(xG)_total,avg_Posesión_total,avg_Remates_a_puerta_total,avg_Córneres_total,avg_Tarjetas_amarillas_total,avg_Faltas_total,avg_Paradas_total,avg_Pases_Pct_total,avg_Pases_Exitosos_total,avg_Goles_total,avg_Ptos_total,avg_xGA_total,avg_xG_Share_total,avg_Remates_Puerta_Share_total,avg_Corneres_Share_total,avg_Paradas_Share_total,avg_Pases_Exitosos_Share_total,avg_Goles_Share_total,avg_Puntos_Share_total,avg_Valor_Mercado_Millones_Eur_Share_total,avg_h2h_win_rate_total,avg_h2h_goles_avg_total,avg__sentinel_total,avg_Puntos_total,avg_Goles_esperados_(xG)_2,avg_Posesión_2,avg_Remates_a_puerta_2,avg_Córneres_2,avg_Tarjetas_amarillas_2,avg_Faltas_2,avg_Paradas_2,avg_Pases_Pct_2,avg_Pases_Exitosos_2,avg_Goles_2,avg_Ptos_2,avg_xGA_2,avg_xG_Share_2,avg_Remates_Puerta_Share_2,avg_Corneres_Share_2,avg_Paradas_Share_2,avg_Pases_Exitosos_Share_2,avg_Goles_Share_2,avg_Puntos_Share_2,avg_Valor_Mercado_Millones_Eur_Share_2,avg_h2h_win_rate_2,avg_h2h_goles_avg_2,avg__sentinel_2,avg_Puntos_2,avg_Goles_esperados_(xG)_3,avg_Posesión_3,avg_Remates_a_puerta_3,avg_Córneres_3,avg_Tarjetas_amarillas_3,avg_Faltas_3,avg_Paradas_3,avg_Pases_Pct_3,avg_Pases_Exitosos_3,avg_Goles_3,avg_Ptos_3,avg_xGA_3,avg_xG_Share_3,avg_Remates_Puerta_Share_3,avg_Corneres_Share_3,avg_Paradas_Share_3,avg_Pases_Exitosos_Share_3,avg_Goles_Share_3,avg_Puntos_Share_3,avg_Valor_Mercado_Millones_Eur_Share_3,avg_h2h_win_rate_3,avg_h2h_goles_avg_3,avg__sentinel_3,avg_Puntos_3,avg_Goles_esperados_(xG)_5,avg_Posesión_5,avg_Remates_a_puerta_5,avg_Córneres_5,avg_Tarjetas_amarillas_5,avg_Faltas_5,avg_Paradas_5,avg_Pases_Pct_5,avg_Pases_Exitosos_5,avg_Goles_5,avg_Ptos_5,avg_xGA_5,avg_xG_Share_5,avg_Remates_Puerta_Share_5,avg_Corneres_Share_5,avg_Paradas_Share_5,avg_Pases_Exitosos_Share_5,avg_Goles_Share_5,avg_Puntos_Share_5,avg_Valor_Mercado_Millones_Eur_Share_5,avg_h2h_win_rate_5,avg_h2h_goles_avg_5,avg__sentinel_5,avg_Puntos_5,clean_sheet_rate_5,trend_xG_5,forma_vs_historia,Puntos,Valor_Mercado_Millones_Eur
Canadá,0.75,Visitante,2026-06-24 00:01:00,1,1.579488888888889,0.5217777777777778,4.502222222222222,6.344444444444444,1.9733333333333332,13.94888888888889,2.1844444444444444,0.811288888888889,345.27555555555557,2.0,1.8222222222222222,0.964111111111111,0.6076537943291185,0.5924468157303178,0.6066618676364398,0.4150965888647048,0.5292991427448198,0.6518518518518518,0.5099274539971366,0.7089201096095191,0.4037037037037037,1.6205448201825012,0.0,1452.3664444444444,3.129999999999999,0.6199999999999999,8.5,13.0,1.5,11.0,1.0,0.855,393.0,3.5,1.5,0.6699999999999999,0.7757395743156512,0.8181818181818183,0.8638888888888889,0.1250000000000001,0.6277122879644588,0.6666666666666667,0.5011818013897644,0.6414172381590242,0.3333333333333333,1.6008454106280192,0.0,1556.48,2.4966666666666666,0.6166666666666667,7.0,11.666666666666666,1.6666666666666667,10.666666666666666,1.3333333333333333,0.8166666666666668,365.3333333333333,2.6666666666666665,1.3333333333333333,0.7733333333333334,0.7026800782013843,0.7359307359307358,0.8066951566951567,0.3055555555555555,0.6328593676332908,0.6111111111111112,0.5104537095138375,0.6195230721110401,0.3333333333333333,1.6008454106280192,0.0,1556.48,1.9259999999999997,0.608,5.4,10.8,1.8,10.0,1.6,0.826,381.4,2.2,1.6,0.974,0.6041060367358937,0.6548917748917749,0.774017094017094,0.3833333333333333,0.6275865446359933,0.6666666666666667,0.5132924851797115,0.6284601550588074,0.3333333333333333,1.6008454106280192,0.0,1556.48,0.2,0.49499999999999994,1.9816536995089826,1556.48,7.64
Catar,0.7,Visitante,2026-06-24 00:01:00,1,1.4284857142857144,0.5448571428571428,4.285714285714286,4.714285714285714,1.8771428571428572,11.085714285714285,2.5142857142857142,0.7625714285714286,348.37142857142857,1.6,1.7142857142857142,1.1567142857142858,0.5430757597261987,0.5004404465749004,0.515827664399093,0.5468820861678004,0.5488788352988199,0.5511111111111111,0.523952151374991,0.5066286030070772,0.4380952380952381,1.849102829537612,0.0,1449.3945714285715,0.495,0.3350000000000002,1.5,3.0,1.0,12.0,3.5,0.745,237.5,0.5,0.0,2.6399999999999997,0.2883388181427958,0.1875,0.27500000000000013,0.8,0.30940135875486074,0.125,0.4976549318254281,0.1054438690491335,0.3333333333333333,1.6008454106280192,0.0,1454.96,0.5300000000000004,0.32999999999999996,2.0,3.0,1.3333333333333333,12.0,4.0,0.7366666666666667,225.0,0.6666666666666666,0.3333333333333333,2.8266666666666667,0.24485745770923217,0.225,0.2602564102564103,0.7416666666666667,0.29796862706536803,0.25,0.4879975398389332,0.08913136071752015,0.3333333333333333,1.6008454106280192,0.0,1454.96,0.598,0.4119999999999999,1.6,3.0,1.54,12.4,3.4,0.792,296.8,0.4,0.4,2.304,0.2751550272464252,0.23499999999999996,0.3018681318681319,0.7283333333333333,0.3958111852239467,0.25,0.5020026231992019,0.2239305415803241,0.3333333333333333,1.6008454106280192,0.0,1454.96,0.0,-0.0040000000000000036,0.3465207912474748,1454.96,0.766
Bosnia-Herzegovina,1.0,Local,2026-06-24 00:01:00,1,1.264913043478261,0.4856521739130435,4.1521739130434785,4.869565217391305,2.3152173913043477,13.167391304347827,1.9217391304347828,0.8050434782608695,359.8239130434783,1.2173913043478262,1.173913043478261,1.2832826086956521,0.4883089306634578,0.5187787755722538,0.52589205226505,0.44805598986106177,0.49309507339958986,0.46526915113871636,0.4958969486827112,0.5870368805994319,0.3079710144927536,1.3642091997479522,0.0,1373.9139130434783,0.4549999999999998,0.4599999999999999,4.0,4.0,1.5,13.5,2.5,0.845,369.5,2.0,1.5,1.4150000000000005,0.28470109923204345,0.4625000000000001,0.4000000000000001,0.5,0.453309960067729,0.475,0.47220887363649855,0.5929418427233634,0.3333333333333333,1.6008454106280192,0.0,1385.84,0.63,0.4366666666666667,3.6666666666666665,4.0,2.0,15.666666666666666,2.0,0.7733333333333334,303.6666666666667,1.6666666666666667,1.3333333333333333,1.3533333333333335,0.3376137041637454,0.4511904761904762,0.36923076923076925,0.4444444444444444,0.4211554643881678,0.48333333333333334,0.47180674050367105,0.5367163151438851,0.3333333333333333,1.6008454106280192,0.0,1385.84,1.1110000000000002,0.506,4.0,4.8,1.2,13.74,2.2800000000000002,0.8164000000000001,396.18,1.2,1.2,1.2201999999999997,0.4668117515179303,0.5040476190476191,0.46013495276653166,0.445405150011812,0.5120190644082151,0.49000000000000005,0.4782947974260748,0.64443907303209,0.3333333333333333,1.6008454106280192,0.0,1385.84,0.0,-0.39180000000000004,0.3597085209500565,1385.84,5.63
Suiza,1.0,Local,2026-06-24 00:01:00,1,1.5623725490196079,0.5701960784313725,4.627450980392157,5.588235294117647,1.9176470588235293,11.372549019607844,2.372549019607843,0.8649019607843137,482.72549019607845,1.7058823529411764,1.6470588235294117,1.023078431372549,0.6066361038974051,0.5880605777664601,0.5758877964646495,0.4504746342981637,0.6012180304326101,0.5857142857142857,0.5265791027184762,0.6102948546733867,0.3758169934640523,1.5599246945154874,0.0,1634.131568627451,1.5900000000000005,0.585,5.5,4.5,1.0,13.0,4.0,0.855,442.5,3.0,3.0,0.9449999999999997,0.6512205083095097,0.5318181818181819,0.4611111111111111,0.5750000000000002,0.6095763932129514,0.7333333333333334,0.5289543931483089,0.6601970500684788,0.3333333333333333,1.6008454106280192,0.0,1649.4,2.126666666666667,0.6166666666666667,6.0,6.333333333333333,1.0,12.333333333333334,3.6666666666666665,0.8733333333333334,470.6666666666667,2.3333333333333335,2.3333333333333335,0.8300000000000004,0.714848759925638,0.5878787878787878,0.5638176638176637,0.5083333333333333,0.6480165409131736,0.6555555555555556,0.529742010143558,0.7546292520275547,0.3333333333333333,1.6008454106280192,0.0,1649.4,1.7079999999999997,0.608,4.4,5.6,1.4,11.0,2.6,0.8779999999999999,500.8,1.6,1.8,0.806,0.6632276233023215,0.5727272727272726,0.5605128205128205,0.4716666666666667,0.6302709899143135,0.5933333333333334,0.5231387151982656,0.6870812288714354,0.3333333333333333,1.6008454106280192,0.0,1650.458,0.2,0.14000000000000004,1.0176830110063884,1649.4,12.79
Costa de Marfil,0.6,Visitante,2026-06-25 00:01:00,2,1.9285588235294118,0.5644117647058824,5.208823529411765,5.914705882352941,1.223529411764706,12.58235294117647,1.8147058823529412,0.884235294117647,467.08529411764704,2.0588235294117645,2.323529411764706,0.7117352941176471,0.7057146009278172,0.6540814340605051,0.6080654462048324,0.3956796374905602,0.5842922134874052,0.7686274509803921,0.5428487190344133,0.8764722847183913,0.5049019607843137,1.7946149474282467,0.0,1472.5338235294118,1.2650000000000001,0.52,2.5,4.5,1.25,6.5,3.5,0.8700000000000001,462.49999999999994,1.5,1.5,1.195,0.5580199321383525,0.41111111111111115,0.43636363636363634,0.75,0.5261047521444029,0.6666666666666667,0.5059498026674802,0.6541833825208745,0.3333333333333333,1.6008454106280192,0.0,1532.98,1.3499999999999996,0.5066666666666667,3.0,4.0,1.8333333333333333,7.666666666666667,2.6666666666666665,0.86,440.6666666666667,1.3333333333333333,2.0,1.1366666666666667,0.5714883537090328,0.5407407407407407,0.41590909090909084,0.5833333333333334,0.5129097040439811,0.7777777777777777,0.5006734435701029,0.6314910037977265,0.3333333333333333,1.6008454106280192,0.0,1532.98,1.4512,0.4800000000000001,3.22,4.12,1.5,8.76,2.6,0.9342,442.5,1.6,2.4,1.0018,0.6075372756512122,0.5693719806763284,0.4330237154150197,0.5166666666666667,0.48707192104325114,0.8,0.5096949510732738,0.6299497764459381,0.3333333333333333,1.6008454106280192,0.0,1532.98,0.0,-0.06760000000000002,0.6559302130515015,1532.98,20.08
Sudáfrica,0.6,Local,2026-06-25 00:01:00,1,1.4532424242424242,0.5809090909090909,4.536363636363636,4.893939393939394,1.8181818181818181,11.209090909090909,1.5151515151515151,0.8608484848484849,428.07878787878786,1.4545454545454546,1.7575757575757576,0.7812121212121212,0.6135697181799513,0.6510618685105488,0.6321286457650094,0.36715864650647256,0.6021077179706603,0.6121212121212121,0.5286317432626948,0.6372608941680942,0.3939393939393939,1.5530120040989606,0.0,1407.5524242424244,1.27,0.47,4.0,4.5,1.5,8.5,2.0,0.855,392.5000000000001,1.0,2.0,0.9649999999999996,0.5676932367149758,0.5714285714285714,0.45,0.4,0.47651248533601476,0.75,0.4807253593554174,0.2340297906845867,0.3333333333333333,1.6008454106280192,0.0,1429.73,0.8733333333333334,0.44333333333333336,3.3333333333333335,3.3333333333333335,1.6666666666666667,9.333333333333334,2.0,0.84,352.3333333333333,0.6666666666666666,1.3333333333333333,1.13,0.3957781751260012,0.4920634920634921,0.3833333333333333,0.4333333333333334,0.4403633077702435,0.5,0.4736862200595049,0.22398102550493482,0.3333333333333333,1.6008454106280192,0.0,1429.73,1.0792,0.5320000000000001,3.34,3.9,1.34,9.6,1.52,0.842,395.86,0.6,1.2,0.8619999999999999,0.513678984374817,0.5403993855606759,0.47142857142857153,0.4377777777777778,0.5360321054167168,0.5,0.4991469664366379,0.4844459683680875,0.3333333333333333,1.6008454106280192,0.0,1429.73,0.2,-0.12560000000000007,0.8739078758054091,1429.73,1.89
Escocia,1.0,Local,2026-06-25 00:01:00,2,1.2517708333333333,0.484375,3.8958333333333335,4.916666666666667,1.79375,11.375,2.8125,0.830625,385.8333333333333,1.5416666666666667,1.7291666666666667,1.30825,0.5008584962220112,0.48777293308543307,0.5509575255898785,0.5654017857142858,0.479330048398382,0.5909722222222222,0.5050422589575332,0.482204019414658,0.4201388888888889,1.544207930756844,0.0,1475.8385416666667,0.785,0.4349999999999999,2.5,4.5,1.0,10.5,3.0,0.875,419.0,0.0,0.0,2.67,0.2684552289815448,0.17857142857142858,0.41208791208791207,0.75,0.41824976642790396,0.0,0.46005928653682465,0.21529350556242882,0.3333333333333333,1.6008454106280192,0.0,1498.35,0.8733333333333335,0.4433333333333333,2.3333333333333335,4.0,1.6666666666666667,14.0,2.6666666666666665,0.8566666666666666,381.6666666666667,0.3333333333333333,1.0,2.1266666666666665,0.34643426748689915,0.28571428571428575,0.4175824175824176,0.7222222222222222,0.43066304903304387,0.3333333333333333,0.4857166782542152,0.39448685811441625,0.3333333333333333,1.6008454106280192,0.0,1498.35,1.332,0.454,3.8,5.0,1.58,13.4,2.8,0.8719999999999999,391.0,1.0,1.2,1.722,0.45748554260981533,0.4311688311688312,0.5005494505494505,0.6690476190476191,0.4432583120744266,0.4,0.49688536208626743,0.4673503316982005,0.3333333333333333,1.6008454106280192,0.0,1500.0339999999999,0.2,-0.23399999999999999,0.6271115919114588,1498.35,6.55
Alemania,1.0,Visitante,2026-06-25 00:01:00,1,2.286695652173913,0.6441304347826087,6.804347826086956,6.173913043478261,1.767391304347826,10.717391304347826,2.0434782608695654,0.8899999999999999,595.0217391304348,2.652173913043478,2.108695652173913,0.928608695652174,0.703006501962842,0.6778569860091599,0.6432427156532016,0.3192885013537187,0.6886932778051578,0.68574016563147,0.5291846007904599,0.7893627138357171,0.3840579710144928,1.7345358118042427,0.0,1670.5097826086956,1.2699999999999991,0.6,5.0,5.0,0.95,7.5,1.0,0.88,536.0,1.5,1.5,1.245,0.4731293542336549,0.6388888888888888,0.5636363636363637,0.2500000000000001,0.6127976104812269,0.4999999999999999,0.5253160076867315,0.6821823078806534,0.3333333333333333,1.6008454106280192,0.0,1730.37,2.2533333333333334,0.6166666666666667,7.333333333333333,6.0,1.2666666666666666,11.0,1.0,0.8766666666666666,542.0,3.3333333333333335,2.0,0.9666666666666667,0.6192352642335237,0.7116402116402116,0.6720538720538722,0.23333333333333336,0.6294248822665914,0.625,0.5408837913077196,0.7792916935326174,0.3333333333333333,1.6008454106280192,0.0,1730.37,2.2399999999999998,0.6,6.4,5.8,1.56,10.2,1.2,0.874,525.2,2.8,2.4,0.89,0.660910346778365,0.6984126984126984,0.575027195027195,0.25999999999999995,0.6121941017733544,0.6416666666666667,0.5383431586374761,0.7700364260614269,0.3333333333333333,1.6008454106280192,0.0,1729.1259999999997,0.2,-0.41500000000000004,0.5553865459938392,1730.37,36.42
Curazao,0.75,Local,2026-06-25 00:01:00,2,1.0670344827586207,0.49448275862068963,3.8379310344827586,4.251724137931034,2.089655172413793,13.565517241379311,2.4655172413793105,0.7967931034482758,330.5275862068965,2.2758620689655173,1.8620689655172413,0.9682758620689655,0.5331336886911459,0.5573164195313565,0.5011791554693423,0.4499732093124084,0.5053038086712763,0.6663793103448276,0.5317929560904964,0.7405947203120021,0.3850574712643678,1.6385140762951855,0.0,1281.5068965517241,0.5,0.31,2.5,2.0,3.5,10.5,8.0,0.7649999999999999,227.0,0.0,0.5,2.075,0.21297184636252356,0.2833333333333334,0.2,0.5833333333333334,0.2803515414593961,0.25,0.4529605421261683,0.0561767304800011,0.3333333333333333,1.6008454106280192,0.0,1294.65,0.47000000000000003,0.32333333333333336,2.3333333333333335,1.6666666666666667,3.0333333333333337,10.666666666666666,6.666666666666667,0.7833333333333333,245.33333333333334,0.3333333333333333,0.3333333333333333,2.7899999999999996,0.17149886949726198,0.23650793650793647,0.1703703703703704,0.6555555555555556,0.2993412190271572,0.20833333333333334,0.44463390856754703,0.04628099870781891,0.3333333333333333,1.6008454106280192,0.0,1294.65,0.626,0.37799999999999995,3.04,2.7199999999999998,2.7,13.38,4.5600000000000005,0.7682,250.07999999999998,1.0,1.0,2.012,0.30729370356457886,0.4270899470899471,0.3226523297491039,0.5233333333333333,0.3681828199943829,0.425,0.483304543454087,0.3712488345491414,0.6,1.7605072463768117,0.0,1294.824,0.0,-0.10600000000000001,0.46858841778697,1294.65,0.991
Brasil,0.95,Visitante,2026-06-25 00:01:00,2,1.6716739130434783,0.5458695652173913,5.25,4.778260869565218,1.873913043478261,11.950000000000001,2.2195652173913043,0.8369565217391305,439.1891304347826,1.673913043478261,1.9565217391304348,0.7903478260869565,0.6495424880791509,0.6575438453486043,0.5496345816011231,0.3737668512436741,0.5550360390126297,0.6652173913043479,0.536598200398929,0.8063267242059938,0.5217391304347826,1.734063222012182,0.0,1787.5065217391304,3.0450000000000004,0.5549999999999999,6.999999999999999,5.0,1.5,12.0,4.0,0.905,513.0,3.0,3.0,0.64,0.8445165945165944,0.6339285714285715,0.4807692307692308,0.55,0.5690384988001729,1.0,0.5586005045130805,0.8940836218958361,0.3333333333333333,1.6008454106280192,0.0,1761.16,2.4499999999999997,0.54,6.333333333333333,5.333333333333333,1.6666666666666667,13.333333333333334,3.3333333333333335,0.8933333333333334,491.6666666666667,2.3333333333333335,2.3333333333333335,0.8800000000000002,0.7233164065225134,0.6309523809523809,0.5705128205128206,0.4777777777777777,0.5517860345303763,0.8333333333333334,0.5393176880090379,0.8209234727982823,0.3333333333333333,1.6008454106280192,0.0,1761.16,2.402,0.516,6.6,4.6,1.4,12.4,2.6,0.8879999999999999,457.2,2.4,2.6,0.8039999999999999,0.743877829856842,0.6741269841269841,0.5673076923076923,0.3933333333333333,0.5222734164508698,0.7833333333333334,0.5307974251339778,0.8113611514786141,0.2666666666666666,1.2806763285024154,0.0,1761.02,0.4,0.359,1.8215274978217617,1761.16,35.7
